16	1:2
a	1:7,29,85,137,146,181
alway	1:58
an	1:92
and	1:117,145,156
anim	1:51
anyth	1:141
are	1:57
as	1:180
at	1:194
awkward	1:118
back	1:22,109
ball	1:96
befor	1:91
better	1:31,161
bloat	1:73
br	1:63,64,103,104,162,163
bundl	1:176
but	1:35,110
button	1:82,107
buy	1:15,173
by	1:71
can	1:168
chanc	1:138
clock	1:100
code	1:6
come	1:179
control	1:76
cross	1:153
digit	1:5
done	1:90
down	1:70
download	1:182
each	1:61
everi	1:17
few	1:147
finger	1:155
footbal	1:24
from	1:10
game	1:42,149,178
gameplay	1:66
gamestop	1:195
get	1:21,89
giant	1:86
great	1:44
guess	1:127
had	1:136
hate	1:186
haven	1:134
hope	1:19,157
i	1:13,125,133,151,167
if	1:119,184
improv	1:9
in	1:193
is	1:28,52,67,83,108,114,160,170
it	1:187,192
keep	1:14
last	1:11,33,122
like	1:121,130
littl	1:30
ll	1:129
look	1:43
m	1:126,152
madden	1:0,16,175
movement	1:113
much	1:40
my	1:154
nfl	1:1
no	1:190
not	1:38,171
now	1:84
on	1:60
one	1:4,165
onli	1:46
onlin	1:148
oppon	1:93
or	1:97
other	1:62,142
out	1:102
pita	1:87
play	1:75,99,140
player	1:56,112
pre	1:74
recommend	1:169
rest	1:159
run	1:101
s	1:37,189
say	1:39
slight	1:8
slow	1:69,116
snap	1:94
so	1:150,183
still	1:68,115
t	1:135
take	1:80
than	1:32,143
that	1:36
the	1:41,45,50,53,55,65,72,95,98,105,111,158,164,174,177
there	1:188
they	1:20
thing	1:47,166
this	1:25,131
to	1:23,79,88,139,172
too	1:132
trade	1:191
train	1:144
trip	1:59
turbo	1:106
two	1:81
use	1:78
version	1:27,124
way	1:54
what	1:77
with	1:49
wrong	1:48
xbox	1:3
year	1:12,18,26,34,123
you	1:120,128,185
